site_location_name,site_unique,visit_start_date,transect,point_number,substrate,standardised_name,dead,family,growth_form,height,genus,specific_epithet,rank,hits_unique,photo_start,photo-end
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,0,Bare,Sclerolaena ventricosa,TRUE,Chenopodiaceae,Chenopod,0.17,Sclerolaena,ventricosa,Species,S1-N1 0,1423,1425
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,1,Bare,Sclerolaena ventricosa,TRUE,NA,NA,0.25,Chenopod,sp.,Species,S1-N1 1,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,2,Bare,Sclerolaena brachyptera,FALSE,Chenopodiaceae,Chenopod,0.09,Sclerolaena,brachyptera,Species,S1-N1 2,1426,1431
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,3,Rock,Sclerolaena brachyptera,FALSE,Chenopodiaceae,Chenopod,0.01,Sclerolaena,brachyptera,Species,S1-N1 3,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,4,Rock,Sclerolaena divaricata,FALSE,Chenopodiaceae,Chenopod,0.08,Sclerolaena,divaricata,Species,S1-N1 4,1432,1436
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,5,Rock,NA,,,,,NA,NA,NA,S1-N1 5,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,6,Rock,NA,,,,,NA,NA,NA,S1-N1 6,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,7,Rock,NA,,,,,NA,NA,NA,S1-N1 7,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,8,Rock,NA,,,,,NA,NA,NA,S1-N1 8,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,9,Gravel,NA,,,,,NA,NA,NA,S1-N1 9,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,10,Gravel,Sclerolaena ventricosa,TRUE,Chenopodiaceae,Chenopod,0.1,Sclerolaena,ventricosa,Species,S1-N1 10,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,11,Rock,NA,,,,,NA,NA,NA,S1-N1 11,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,12,Gravel,NA,,,,,NA,NA,NA,S1-N1 12,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,13,Rock,NA,,,,,NA,NA,NA,S1-N1 13,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,14,Rock,NA,,,,,NA,NA,NA,S1-N1 14,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,15,Gravel,NA,,,,,NA,NA,NA,S1-N1 15,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,16,Rock,NA,,,,,NA,NA,NA,S1-N1 16,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,17,Bare,Sclerolaena divaricata,FALSE,Chenopodiaceae,Chenopod,0.38,Sclerolaena,divaricata,Species,S1-N1 17,1437,1445
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,17,Bare,Sclerolaena ventricosa,FALSE,Chenopodiaceae,Chenopod,0.17,Sclerolaena,ventricosa,Species,S1-N1 17,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,18,Bare,NA,,,,,NA,NA,NA,S1-N1 18,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,19,Bare,Sclerolaena ventricosa,TRUE,Chenopodiaceae,Chenopod,0.1,Sclerolaena,ventricosa,Species,S1-N1 19,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,20,Bare,Sclerolaena divaricata,TRUE,Chenopodiaceae,Chenopod,0.23,Sclerolaena,divaricata,Species,S1-N1 20,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,21,Bare,NA,,,,,NA,NA,NA,S1-N1 21,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,22,Litter,Dead shrub,TRUE,NA,Shrub,0.28,Dead,NA,Family,S1-N1 22,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,23,Litter,NA,,,,,NA,NA,NA,S1-N1 23,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,24,Litter,Sclerolaena longicuspis,FALSE,Chenopodiaceae,Chenopod,0.45,Sclerolaena,longicuspis,Species,S1-N1 24,1445,1450
