point,ndvi,class,site
94,0.3369341,veg,NSABHC0012
17,0.2840338,veg,NSABHC0012
4,0.2638922,veg,NSABHC0012
50,0.2146036,veg,NSABHC0012
11,0.2045001,veg,NSABHC0012
90,0.2020491,veg,NSABHC0012
84,0.1888348,veg,NSABHC0012
21,0.1855571,veg,NSABHC0012
99,0.1794732,veg,NSABHC0012
93,0.1784015,veg,NSABHC0012
3,0.1774756,veg,NSABHC0012
45,0.1773105,veg,NSABHC0012
61,0.1739424,veg,NSABHC0012
29,0.1716122,veg,NSABHC0012
13,0.1688707,veg,NSABHC0012
43,0.1647554,veg,NSABHC0012
52,0.1638722,veg,NSABHC0012
44,0.1535969,veg,NSABHC0012
80,0.1510768,veg,NSABHC0012
41,0.1497005,veg,NSABHC0012
77,0.1455074,veg,NSABHC0012
25,0.1444124,veg,NSABHC0012
20,0.1443518,veg,NSABHC0012
91,0.1442742,veg,NSABHC0012
82,0.1440764,veg,NSABHC0012
34,0.1386686,veg,NSABHC0012
58,0.1380543,veg,NSABHC0012
36,0.138019,veg,NSABHC0012
87,0.137104,veg,NSABHC0012
69,0.1368909,veg,NSABHC0012
68,0.1368389,veg,NSABHC0012
31,0.1342256,veg,NSABHC0012
32,0.1322724,veg,NSABHC0012
26,0.1322107,veg,NSABHC0012
38,0.1316476,veg,NSABHC0012
23,0.1311633,veg,NSABHC0012
9,0.1305391,veg,NSABHC0012
89,0.1298345,veg,NSABHC0012
30,0.129797,veg,NSABHC0012
67,0.1293173,veg,NSABHC0012
71,0.1273571,veg,NSABHC0012
60,0.1263176,non-veg,NSABHC0012
53,0.1262098,veg,NSABHC0012
86,0.125883,veg,NSABHC0012
59,0.125788,veg,NSABHC0012
83,0.1253271,veg,NSABHC0012
35,0.124966,veg,NSABHC0012
40,0.1236969,veg,NSABHC0012
57,0.1232531,veg,NSABHC0012
6,0.1198737,veg,NSABHC0012
66,0.1184992,veg,NSABHC0012
2,0.1166285,veg,NSABHC0012
88,0.1153338,veg,NSABHC0012
62,0.1126167,veg,NSABHC0012
12,0.1125069,veg,NSABHC0012
55,0.1123044,veg,NSABHC0012
1,0.1113309,veg,NSABHC0012
46,0.1105982,veg,NSABHC0012
64,0.1104136,veg,NSABHC0012
7,0.1098607,veg,NSABHC0012
24,0.1095192,veg,NSABHC0012
65,0.1090496,veg,NSABHC0012
5,0.1087601,veg,NSABHC0012
14,0.108756,veg,NSABHC0012
22,0.1084337,veg,NSABHC0012
39,0.1070589,veg,NSABHC0012
76,0.1062808,veg,NSABHC0012
15,0.1053668,veg,NSABHC0012
56,0.1046546,veg,NSABHC0012
49,0.1045542,veg,NSABHC0012
70,0.1036241,veg,NSABHC0012
16,0.1031705,veg,NSABHC0012
10,0.1028035,veg,NSABHC0012
28,0.100877,veg,NSABHC0012
97,0.1002701,veg,NSABHC0012
48,0.0997077,veg,NSABHC0012
54,0.09657,veg,NSABHC0012
95,0.095433,veg,NSABHC0012
79,0.0943991,veg,NSABHC0012
72,0.0934767,veg,NSABHC0012
63,0.0930524,veg,NSABHC0012
51,0.0924201,veg,NSABHC0012
8,0.0915018,veg,NSABHC0012
33,0.0909419,veg,NSABHC0012
18,0.0897634,veg,NSABHC0012
27,0.0884732,veg,NSABHC0012
75,0.0841722,veg,NSABHC0012
81,0.083701,veg,NSABHC0012
74,0.0824715,veg,NSABHC0012
19,0.0804901,veg,NSABHC0012
98,0.079881,veg,NSABHC0012
85,0.073667,veg,NSABHC0012
37,0.0702855,veg,NSABHC0012
100,0.0687876,veg,NSABHC0012
78,0.0668338,veg,NSABHC0012
47,0.0583904,veg,NSABHC0012
42,0.0374949,non-veg,NSABHC0012
73,0.0191168,non-veg,NSABHC0012
92,-0.079283,non-veg,NSABHC0012
96,-0.2241825,non-veg,NSABHC0012
50,0.2178922,veg,NSABHC0011
55,0.1982052,veg,NSABHC0011
33,0.1940043,veg,NSABHC0011
58,0.1810377,veg,NSABHC0011
22,0.1632165,veg,NSABHC0011
30,0.1602815,veg,NSABHC0011
53,0.1597144,veg,NSABHC0011
85,0.1524376,veg,NSABHC0011
3,0.1510293,veg,NSABHC0011
70,0.1488425,veg,NSABHC0011
93,0.1482152,veg,NSABHC0011
61,0.1422327,veg,NSABHC0011
6,0.1414577,veg,NSABHC0011
4,0.1368949,veg,NSABHC0011
84,0.1349734,veg,NSABHC0011
100,0.1340271,veg,NSABHC0011
36,0.1336527,veg,NSABHC0011
82,0.1299212,veg,NSABHC0011
37,0.129766,veg,NSABHC0011
14,0.1252192,veg,NSABHC0011
99,0.1250983,veg,NSABHC0011
76,0.1236596,veg,NSABHC0011
75,0.1235019,veg,NSABHC0011
92,0.1225203,veg,NSABHC0011
17,0.1222678,veg,NSABHC0011
31,0.1222384,veg,NSABHC0011
10,0.1206607,veg,NSABHC0011
98,0.1192674,veg,NSABHC0011
71,0.1170285,veg,NSABHC0011
52,0.1137853,veg,NSABHC0011
63,0.1135193,veg,NSABHC0011
24,0.1129782,veg,NSABHC0011
86,0.1121224,veg,NSABHC0011
67,0.1088553,veg,NSABHC0011
78,0.1078201,veg,NSABHC0011
9,0.1070872,veg,NSABHC0011
89,0.106438,veg,NSABHC0011
97,0.1058953,veg,NSABHC0011
54,0.1055204,veg,NSABHC0011
94,0.1049983,veg,NSABHC0011
32,0.1036867,veg,NSABHC0011
45,0.1014165,veg,NSABHC0011
74,0.1008567,veg,NSABHC0011
28,0.1008083,veg,NSABHC0011
39,0.1005463,veg,NSABHC0011
35,0.0994945,veg,NSABHC0011
40,0.0983876,veg,NSABHC0011
77,0.0980304,veg,NSABHC0011
68,0.0979826,veg,NSABHC0011
90,0.0971508,non-veg,NSABHC0011
2,0.0969301,veg,NSABHC0011
51,0.0965156,veg,NSABHC0011
16,0.0942988,veg,NSABHC0011
11,0.0877244,veg,NSABHC0011
69,0.0851696,veg,NSABHC0011
59,0.0812385,veg,NSABHC0011
91,0.0784843,non-veg,NSABHC0011
38,0.0759697,veg,NSABHC0011
56,0.075689,veg,NSABHC0011
80,0.0690776,veg,NSABHC0011
44,0.068408,veg,NSABHC0011
64,0.0682365,veg,NSABHC0011
34,0.0672574,non-veg,NSABHC0011
72,0.0652033,veg,NSABHC0011
8,0.0647774,veg,NSABHC0011
95,0.0639704,non-veg,NSABHC0011
88,0.0603581,non-veg,NSABHC0011
79,0.0599579,non-veg,NSABHC0011
27,0.0588326,non-veg,NSABHC0011
18,0.0584138,non-veg,NSABHC0011
12,0.0568829,veg,NSABHC0011
65,0.0543196,veg,NSABHC0011
60,0.0519355,non-veg,NSABHC0011
46,0.0481355,non-veg,NSABHC0011
7,0.0472304,veg,NSABHC0011
47,0.0471346,non-veg,NSABHC0011
19,0.0457795,veg,NSABHC0011
26,0.0435198,non-veg,NSABHC0011
43,0.0400073,veg,NSABHC0011
29,0.0346493,veg,NSABHC0011
48,0.0263402,non-veg,NSABHC0011
41,0.0245409,non-veg,NSABHC0011
