point,nir,class,site
1,0.0489805,non-shadow,NSABHC0011
2,0.0441851,non-shadow,NSABHC0011
3,0.0311046,shadow,NSABHC0011
4,0.0472511,non-shadow,NSABHC0011
5,0.0489207,non-shadow,NSABHC0011
6,0.0420972,shadow,NSABHC0011
7,0.0482013,shadow,NSABHC0011
8,0.0470271,non-shadow,NSABHC0011
9,0.0190131,shadow,NSABHC0011
10,0.0476988,non-shadow,NSABHC0011
11,0.0468837,non-shadow,NSABHC0011
12,0.0421568,non-shadow,NSABHC0011
13,0.0264194,shadow,NSABHC0011
14,0.0490502,non-shadow,NSABHC0011
15,0.0358198,non-shadow,NSABHC0011
16,0.0461116,non-shadow,NSABHC0011
17,0.0440575,non-shadow,NSABHC0011
18,0.045421,non-shadow,NSABHC0011
19,0.045301,non-shadow,NSABHC0011
20,0.0429058,non-shadow,NSABHC0011
21,0.0397886,non-shadow,NSABHC0011
22,0.0428295,non-shadow,NSABHC0011
23,0.0423737,non-shadow,NSABHC0011
24,0.0171103,shadow,NSABHC0011
25,0.0407189,non-shadow,NSABHC0011
26,0.0470479,non-shadow,NSABHC0011
27,0.049703,non-shadow,NSABHC0011
28,0.0391513,shadow,NSABHC0011
29,0.0436836,non-shadow,NSABHC0011
30,0.0410516,non-shadow,NSABHC0011
31,0.0391027,non-shadow,NSABHC0011
32,0.0311047,shadow,NSABHC0011
33,0.0219264,shadow,NSABHC0011
34,0.0369166,non-shadow,NSABHC0011
35,0.0392618,non-shadow,NSABHC0011
36,0.0392855,non-shadow,NSABHC0011
37,0.0437142,non-shadow,NSABHC0011
38,0.0474094,non-shadow,NSABHC0011
39,0.0406295,shadow,NSABHC0011
40,0.0441359,non-shadow,NSABHC0011
41,0.0499375,non-shadow,NSABHC0011
42,0.0393084,shadow,NSABHC0011
43,0.0454729,non-shadow,NSABHC0011
44,0.0403577,shadow,NSABHC0011
45,0.0217989,shadow,NSABHC0011
46,0.0448599,non-shadow,NSABHC0011
47,0.0337667,non-shadow,NSABHC0011
48,0.0452819,non-shadow,NSABHC0011
49,0.0318862,shadow,NSABHC0011
50,0.0392882,non-shadow,NSABHC0011
51,0.0490003,non-shadow,NSABHC0011
52,0.0454179,non-shadow,NSABHC0011
53,0.0421929,shadow,NSABHC0011
54,0.0436142,non-shadow,NSABHC0011
55,0.0257982,shadow,NSABHC0011
56,0.0235388,shadow,NSABHC0011
57,0.0492668,non-shadow,NSABHC0011
58,0.045811,non-shadow,NSABHC0011
59,0.0190026,shadow,NSABHC0011
60,0.0300914,shadow,NSABHC0011
61,0.0484329,non-shadow,NSABHC0011
62,0.0391734,shadow,NSABHC0011
63,0.0444294,non-shadow,NSABHC0011
64,0.0456455,non-shadow,NSABHC0011
65,0.0259322,shadow,NSABHC0011
66,0.0419972,shadow,NSABHC0011
67,0.0327729,shadow,NSABHC0011
68,0.0457191,shadow,NSABHC0011
69,0.0434909,non-shadow,NSABHC0011
70,0.0470427,shadow,NSABHC0011
71,0.0206842,non-shadow,NSABHC0011
72,0.0331439,shadow,NSABHC0011
73,0.0434247,non-shadow,NSABHC0011
74,0.0494144,non-shadow,NSABHC0011
75,0.0483094,shadow,NSABHC0011
76,0.036713,shadow,NSABHC0011
77,0.0379786,shadow,NSABHC0011
78,0.0431277,shadow,NSABHC0011
79,0.030113,shadow,NSABHC0011
80,0.0486255,non-shadow,NSABHC0011
81,0.0445638,non-shadow,NSABHC0011
82,0.0466505,non-shadow,NSABHC0011
83,0.0414257,non-shadow,NSABHC0011
84,0.0434777,non-shadow,NSABHC0011
85,0.0408965,shadow,NSABHC0011
86,0.0356617,shadow,NSABHC0011
87,0.0479683,non-shadow,NSABHC0011
88,0.0354165,shadow,NSABHC0011
89,0.0423505,non-shadow,NSABHC0011
90,0.0296877,non-shadow,NSABHC0011
91,0.0371419,shadow,NSABHC0011
92,0.0420545,non-shadow,NSABHC0011
93,0.0391283,non-shadow,NSABHC0011
94,0.0496006,non-shadow,NSABHC0011
95,0.0328761,shadow,NSABHC0011
96,0.0420888,non-shadow,NSABHC0011
97,0.0344197,non-shadow,NSABHC0011
98,0.0498295,non-shadow,NSABHC0011
99,0.0423123,non-shadow,NSABHC0011
100,0.0407884,shadow,NSABHC0011
1,0.0453118,non-shadow,NSABHC0009
2,0.0442914,non-shadow,NSABHC0009
3,0.0400248,shadow,NSABHC0009
4,0.0489126,non-shadow,NSABHC0009
5,0.0348235,non-shadow,NSABHC0009
6,0.0304222,shadow,NSABHC0009
7,0.0328612,non-shadow,NSABHC0009
8,0.0466632,non-shadow,NSABHC0009
9,0.0461121,non-shadow,NSABHC0009
10,0.0447906,non-shadow,NSABHC0009
11,0.0334125,non-shadow,NSABHC0009
12,0.0376014,non-shadow,NSABHC0009
13,0.0231692,non-shadow,NSABHC0009
14,0.035403,non-shadow,NSABHC0009
15,0.0454397,non-shadow,NSABHC0009
16,0.0452693,non-shadow,NSABHC0009
